timeout_s,latencia_media_ms,repeticion,codigo,tiempo_ms
30,250,18,201,249.4
30,250,19,201,257.6
30,250,20,201,94.8
30,250,21,201,248.7
30,250,22,201,169.5
30,250,23,201,336.1
30,250,24,201,267.9
30,250,25,201,162.7
30,250,26,201,229.7
30,250,27,201,278.8
30,250,28,201,103.0
30,250,29,201,311.7
30,250,30,201,344.3
30,500,1,201,872.7
30,500,2,201,450.3
30,500,3,201,727.9
30,500,4,201,655.9
30,500,5,201,434.1
30,500,6,201,492.0
30,500,7,201,632.2
30,500,8,201,516.8
30,500,9,201,312.6
30,500,10,201,654.7
30,500,11,201,489.3
30,500,12,201,603.8
30,500,13,201,404.7
30,500,14,201,615.8
30,500,15,201,493.3
30,500,16,201,482.6
30,500,17,201,700.1
30,500,18,201,700.8
30,500,19,201,604.6
30,500,20,201,447.2
30,500,21,201,557.6
30,500,22,201,433.7
30,500,23,201,680.3
30,500,24,201,557.9
30,500,25,201,584.2
30,500,26,201,470.3
30,500,27,201,319.6
30,500,28,201,440.3
30,500,29,201,571.3
30,500,30,201,536.7
30,1000,1,201,1045.9
30,1000,2,201,1139.7
30,1000,3,201,1023.6
30,1000,4,201,573.7
30,1000,5,201,678.2
30,1000,6,201,693.2
30,1000,7,201,910.3
30,1000,8,201,1225.2
30,1000,9,201,1161.2
30,1000,10,201,1300.3
30,1000,11,201,1101.6
30,1000,12,201,1087.8
30,1000,13,201,1410.9
30,1000,14,201,871.0
30,1000,15,201,1430.6
30,1000,16,201,784.5
30,1000,17,201,1083.5
30,1000,18,201,1277.5
30,1000,19,201,1108.2
30,1000,20,201,745.7
30,1000,21,201,1299.1
30,1000,22,201,734.9
30,1000,23,201,1124.1
30,1000,24,201,873.6
30,1000,25,201,913.3
30,1000,26,201,955.9
30,1000,27,201,708.6
30,1000,28,201,961.2
30,1000,29,201,12.5
30,1000,30,201,1226.0
30,2000,1,201,818.3
30,2000,2,201,1153.6
30,2000,3,201,1373.6
30,2000,4,201,1329.5
30,2000,5,201,1680.1
30,2000,6,201,2921.4
30,2000,7,201,1944.8
30,2000,8,201,1844.3
30,2000,9,201,1603.7
30,2000,10,201,2275.1
30,2000,11,201,1067.1
30,2000,12,201,2892.2
30,2000,13,201,3159.6
30,2000,14,201,1129.7
30,2000,15,201,798.8
30,2000,16,201,1991.1
30,2000,17,201,2247.4
30,2000,18,201,2017.2
30,2000,19,201,1972.0
30,2000,20,201,2221.2
30,2000,21,201,1397.1
30,2000,22,201,1441.9
30,2000,23,201,398.7
30,2000,24,201,2628.4
30,2000,25,201,2915.4
30,2000,26,201,1142.9
30,2000,27,201,2390.8
30,2000,28,201,2032.0
30,2000,29,201,1348.8
30,2000,30,201,1800.2
